_id,device,feedback,timestamp,month
66235d4f9a8cdfbc2b85dc15,ezoHumidity,sending data,2024-04-20T02:14:39.316247-04:00,April
66235d769a8cdfbc2b85dc9d,ezoConductivity,sending data,2024-04-20T02:15:18.750968-04:00,April
66235da29a8cdfbc2b85dd27,ezoTemperature,sending data,2024-04-20T02:16:02.982489-04:00,April
66235dcf9a8cdfbc2b85ddb1,ezoColor,sending data,2024-04-20T02:16:47.363986-04:00,April
66235dfb9a8cdfbc2b85de3b,ezoHumidity,sending data,2024-04-20T02:17:31.619499-04:00,April
66235e239a8cdfbc2b85dec3,ezoConductivity,sending data,2024-04-20T02:18:11.045873-04:00,April
66235e4f9a8cdfbc2b85df4d,ezoColor,sending data,2024-04-20T02:18:55.286268-04:00,April
66235e7b9a8cdfbc2b85dfd7,ezoHumidity,sending data,2024-04-20T02:19:39.664716-04:00,April
66235ea39a8cdfbc2b85e05f,ezoConductivity,sending data,2024-04-20T02:20:19.097001-04:00,April
66235ecf9a8cdfbc2b85e0e9,ezoCO2,sending data,2024-04-20T02:21:03.335219-04:00,April
66235efb9a8cdfbc2b85e173,ezoColor,sending data,2024-04-20T02:21:47.719168-04:00,April
66235f279a8cdfbc2b85e1fd,ezoHumidity,sending data,2024-04-20T02:22:31.968458-04:00,April
66235f4f9a8cdfbc2b85e285,ezoConductivity,sending data,2024-04-20T02:23:11.403501-04:00,April
66235f7b9a8cdfbc2b85e30f,ezoTemperature,sending data,2024-04-20T02:23:55.634466-04:00,April
66235fa89a8cdfbc2b85e399,ezoColor,sending data,2024-04-20T02:24:40.014010-04:00,April
66235fd49a8cdfbc2b85e423,ezoHumidity,sending data,2024-04-20T02:25:24.270197-04:00,April
66235ffb9a8cdfbc2b85e4ab,ezoConductivity,sending data,2024-04-20T02:26:03.700105-04:00,April
662360279a8cdfbc2b85e535,ezoColor,sending data,2024-04-20T02:26:47.939355-04:00,April
662360549a8cdfbc2b85e5bf,ezoHumidity,sending data,2024-04-20T02:27:32.314438-04:00,April
6623607b9a8cdfbc2b85e647,ezoConductivity,sending data,2024-04-20T02:28:11.750295-04:00,April
662360a99a8cdfbc2b85e6d1,ezoCO2,sending data,2024-04-20T02:28:57.098333-04:00,April
662360d49a8cdfbc2b85e75b,ezoColor,sending data,2024-04-20T02:29:40.356511-04:00,April
662361009a8cdfbc2b85e7e5,ezoHumidity,sending data,2024-04-20T02:30:24.610252-04:00,April
662361289a8cdfbc2b85e86d,ezoConductivity,sending data,2024-04-20T02:31:04.049233-04:00,April
662361549a8cdfbc2b85e8f7,ezoTemperature,sending data,2024-04-20T02:31:48.282550-04:00,April
662361809a8cdfbc2b85e981,ezoColor,sending data,2024-04-20T02:32:32.659442-04:00,April
662361ac9a8cdfbc2b85ea0b,ezoHumidity,sending data,2024-04-20T02:33:16.911917-04:00,April
662361d49a8cdfbc2b85ea93,ezoConductivity,sending data,2024-04-20T02:33:56.342025-04:00,April
662362009a8cdfbc2b85eb1d,ezoColor,sending data,2024-04-20T02:34:40.581657-04:00,April
6623622c9a8cdfbc2b85eba7,ezoHumidity,sending data,2024-04-20T02:35:24.953902-04:00,April
662362549a8cdfbc2b85ec2f,ezoConductivity,sending data,2024-04-20T02:36:04.387246-04:00,April
